id,name,formatted_address,lat,lng,types,rating,user_rating_count,price_level
ChIJOTmz1ftL0xQRHrSu3O0ISJ0,Şentepe Central Mosque,"Barıştepe, 737. Cd. No:2, 06210 Yenimahalle/Ankara, Türkiye",39.9816667,32.8025,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.5,401,
ChIJKeOkTwEz0xQRpDMDgQyLOKA,TUSAŞ CAMİİ,"Akıncı, 06980 Kahramankazan/Ankara, Türkiye",40.0849208,32.5862914,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.9,362,
ChIJdTvM0Vo-0xQRwzDd6UfNkqY,Türkkonut Central Mosque,"Dodurga, Kaan Cd, 06810 Çankaya/Ankara, Türkiye",39.8272158,32.6590205,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.6,318,
ChIJkfjD1o9N0xQR1IMGMxs2hCI,Güneşevler Merkez Camii,"Güneşevler, 135. Sk. Güneşevler Cami, Güneşevler Cami No:25, 06140 Altındağ/Ankara, Türkiye",39.973759400000006,32.885300199999996,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.7,256,
ChIJo_La8mdO0xQRT4MlY320118,Ankara Castle Gate and Clock Tower,"Kale, Kale Kapısı Sk. No:2, 06250 Altındağ/Ankara, Türkiye",39.937647899999995,32.86349390000001,"[""historical_landmark"", ""historical_place"", ""point_of_interest"", ""establishment""]",4.7,215,
ChIJISHupYhP0xQRmLS-HjKNnmo,Emek Merkez Cami,"Emek, Şht. Meryem Yılmaztürk Cd. No:31, 06490 Çankaya/Ankara, Türkiye",39.9204024,32.8194775,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.7,175,
ChIJS8rDQwBP0xQRUh_36KZRcDk,Ulus Ankara,"Hacı Bayram, Adliye Sk. No:1, 06050 Altındağ/Ankara, Türkiye",39.942541899999995,32.8573964,"[""historical_landmark"", ""historical_place"", ""point_of_interest"", ""establishment""]",4.5,157,
ChIJ7RZdvTjsYK4R4GPkw_1dMsk,Neslibey Kına Konağı,"Ulucanlar Cad, Hacettepe, Çarşı Sk No : 1, 06230 Altındağ/Ankara, Türkiye",39.9348329,32.86314790000001,"[""historical_landmark"", ""historical_place"", ""point_of_interest"", ""service"", ""establishment""]",4.7,143,
ChIJc7chnDQz0xQRl6A6xkyxFeI,Lojistik Üssü Camii,"Fethiye, 06980 Kahramankazan/Ankara, Türkiye",40.1112521,32.5996987,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.6,136,
ChIJhTJqh1lN0xQRkH7_3at2K9s,Büyük Ankara Camii Ve Külliyesi,"Şenyuva, 2007. Sokak No:6, 06300 Keçiören/Ankara, Türkiye",40.007542199999996,32.8919426,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.8,903,
