id,name,formatted_address,lat,lng,types,rating,user_rating_count
ChIJsRumntiC1BQRIi6O6DDSO0E,İnan Çiftliği,"Çiğdemli, 06720 Balâ/Ankara, Türkiye",39.4913075,33.123599299999995,"[""place_of_worship"", ""point_of_interest"", ""establishment""]",5,1
ChIJJcQ6JQCD1BQRm3Q_4-NAjBM,KEMAL DEDE BESİ ÇİFTLİĞİ,"Çiğdemli, 06720, 06010 Bala/Ankara, Türkiye",39.4949563,33.1334979,"[""farm"", ""point_of_interest"", ""establishment""]",5,2
ChIJsSf3u-yD1BQR5ANfDAhRexI,ÜNSAL Besi Çiftliği,"Ankara, Çiğdemli, 06000 Bala/Ankara, Türkiye",39.4963553,33.141022299999996,"[""ranch"", ""farm"", ""food"", ""point_of_interest"", ""government_office"", ""establishment""]",5,4
ChIJbw9lWTqD1BQREpLBkWol1Qk,Çocuk Bahçesi,"Çiğdemli, 06720 Balâ/Ankara, Türkiye",39.488253,33.138280099999996,"[""park"", ""point_of_interest"", ""establishment""]",5,2
ChIJY8arVcuD1BQRBMjkeMeeIXU,Cebrailoğulları Çiftliği,"Çiğdemli, Küme evleri numara 33, 06720 Bala/Ankara, Türkiye",39.488951799999995,33.1245018,"[""ranch"", ""farm"", ""point_of_interest"", ""establishment""]",5,14
ChIJ7SG8CKKc1BQR4FnWASZChJw,Rigips Alçıtaşı Ocağı,"Unnamed Rd, Çatalören/, Bahçekaradalak, 06720 Bala/Ankara, Türkiye",39.509574199999996,33.162429599999996,"[""point_of_interest"", ""establishment""]",3.8,5
ChIJBduStUyc1BQRh4vP2rBTmK0,Bahce Karadalak Koyu Muhtarligi,"Bahçekaradalak, 06720 Balâ/Ankara, Türkiye",39.507003,33.188288,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",4.5,11
ChIJJ61h52ub1BQRMzk9slcJw84,Bahçe Karadalak Köyü Cami,"Bahçekaradalak, 06720 Balâ/Ankara, Türkiye",39.505727,33.18633,"[""mosque"", ""place_of_worship"", ""point_of_interest"", ""establishment""]",4.6,17
ChIJMwbfpEOb1BQRZm3WjcZ24sc,ASKİ P4 ISTASYONU,"Bahçekaradalak, 06720 Bala/Balâ/Ankara, Türkiye",39.4999659,33.1835678,"[""point_of_interest"", ""establishment""]",5,1
ChIJq6qq6qqE1BQRgZk5nlAzdKw,Cataloren Koyu Muhtarligi,"Merkez, Çatalören Köyü, Bala, Ankara, Çatalören, 06720 Bala/Ankara, Türkiye",39.4868495,33.171363899999996,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",5,3
ChIJcdga1Gyb1BQRAGwWvDucriw,Bahçekaradalak Köyü,"Bahçekaradalak, 06720 Balâ/Ankara, Türkiye",39.507003,33.188288,"[""point_of_interest"", ""establishment""]",5,1
ChIJ_-RZWKuE1BQRXDRZYaYY71M,Çatalören Köyü Cami,"Çatalören, 06720 Balâ/Ankara, Türkiye",39.486736,33.1743679,"[""mosque"", ""place_of_worship"", ""point_of_interest"", ""establishment""]",4.6,10
ChIJFysGPD6b1BQRRLUIMWufzv4,ASKİ P3 POMPA ISTASYONU,"Bahçekaradalak, 06720 Balâ/Ankara, Türkiye",39.498424299999996,33.1952475,"[""corporate_office"", ""point_of_interest"", ""establishment""]",5,1
ChIJbQxbGIeb1BQR5ToUnmGJTD4,Entegre alçı ocağı,"Sırapınar, Unnamed Road, Bahçekaradalak, 06720 Bala/Ankara, Türkiye",39.5014598,33.2403122,"[""point_of_interest"", ""establishment""]",,
ChIJkS35RsKa1BQRH5Je4qpo-K4,ASKİ P2 ISTASYONU,"Bahçekaradalak, 06720 Balâ/Ankara, Türkiye",39.4867997,33.229103699999996,"[""corporate_office"", ""point_of_interest"", ""establishment""]",,
ChIJ0QUqI-2Q1BQRuule7svtIWI,Bala Tarım Ve Hayvancılık,"Sırapınar, 06720 Balâ/Ankara, Türkiye",39.500656899999996,33.282483,"[""farm"", ""point_of_interest"", ""establishment""]",4.4,58
ChIJeYbfJO2Q1BQRdtd3K4t29IA,Çiftlik Caffe,"Sırapınar, 06720 Balâ/Ankara, Türkiye",39.5008177,33.282134899999996,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",,
ChIJl2ta0uyQ1BQR2MR2deJnKV8,Bala Tarım Ve Hayvancılık 2,"Sırapınar, 06720 Balâ/Ankara, Türkiye",39.50202,33.281459999999996,"[""bus_stop"", ""transit_station"", ""point_of_interest"", ""establishment""]",,
ChIJZwwOJe2Q1BQRSRlC3lbMSEA,Seç,"Sırapınar, 06720 Balâ/Ankara, Türkiye",39.500886,33.2820694,"[""point_of_interest"", ""establishment""]",,
ChIJ-eiqLJOQ1BQR60YfWUFuyB4,Bala Tarım Ve Hayvancılık 1,"Sırapınar, 06720 Balâ/Ankara, Türkiye",39.501954999999995,33.281314,"[""bus_stop"", ""transit_station"", ""point_of_interest"", ""establishment""]",5,1
ChIJoQMqfdur0xQRSdAhnAPI7WI,Elvadi tarım hayvancılık,"Türkhüyük, Küme Evleri no :25، 06860 Haymana/Ankara, Türkiye",39.5365517,32.4160171,"[""ranch"", ""farm"", ""point_of_interest"", ""establishment""]",4.8,16
ChIJsQg_Ja-r0xQRwe9tOFtO6yA,Türkhüyük Köyü Mezarlığı,"Türkhüyük, 06860 Haymana/Ankara, Türkiye",39.5372477,32.4078799,"[""cemetery"", ""point_of_interest"", ""establishment""]",,
ChIJCXbbgYep0xQRCra2tMYStxU,Durutlar Köyü Cami,"Durutlar, 06860 Haymana/Ankara, Türkiye",39.539386,32.4470171,"[""mosque"", ""place_of_worship"", ""point_of_interest"", ""establishment""]",3.6,7
ChIJ77_Q3Yap0xQRI7ddt2IfSDY,Durutlar Köyü Mezarlığı,"Durutlar, 06860 Haymana/Ankara, Türkiye",39.5358667,32.451147,"[""cemetery"", ""point_of_interest"", ""establishment""]",,
ChIJj8eYZACp0xQRSunu8Z9jvLA,Starbucks,"Sarıgöl, GFGJ+W6, 06860 Haymana/Ankara, Türkiye",39.5273253,32.480531899999995,"[""coffee_shop"", ""cafe"", ""food_store"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",3.5,2
ChIJGZxtYa-p0xQRMDSPgzhtbug,Sarıgöl Cami,"Sarıgöl, 06860 Haymana/Ankara, Türkiye",39.5278396,32.4809105,"[""mosque"", ""place_of_worship"", ""point_of_interest"", ""establishment""]",4.3,12
